file,label,split,aug_type
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\203_5_4_31_orig.png,0,train,original
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\203_5_4_31_aug1.png,0,train,aug_1
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\203_5_4_31_aug2.png,0,train,aug_2
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\203_5_4_31_aug3.png,0,train,aug_3
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\203_5_4_31_aug4.png,0,train,aug_4
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\601_1_3_38_orig.png,0,train,original
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\601_1_3_38_aug1.png,0,train,aug_1
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\601_1_3_38_aug2.png,0,train,aug_2
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\601_1_3_38_aug3.png,0,train,aug_3
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\601_1_3_38_aug4.png,0,train,aug_4
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\101_5_3_16_orig.png,0,train,original
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\101_5_3_16_aug1.png,0,train,aug_1
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\101_5_3_16_aug2.png,0,train,aug_2
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\101_5_3_16_aug3.png,0,train,aug_3
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\101_5_3_16_aug4.png,0,train,aug_4
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\102_1_2_20_orig.png,0,train,original
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\102_1_2_20_aug1.png,0,train,aug_1
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\102_1_2_20_aug2.png,0,train,aug_2
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\102_1_2_20_aug3.png,0,train,aug_3
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\102_1_2_20_aug4.png,0,train,aug_4
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\102_5_0_16_orig.png,0,train,original
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\102_5_0_16_aug1.png,0,train,aug_1
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\102_5_0_16_aug2.png,0,train,aug_2
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\102_5_0_16_aug3.png,0,train,aug_3
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\102_5_0_16_aug4.png,0,train,aug_4
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\104_4_5_14_orig.png,0,train,original
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\104_4_5_14_aug1.png,0,train,aug_1
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\104_4_5_14_aug2.png,0,train,aug_2
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\104_4_5_14_aug3.png,0,train,aug_3
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\104_4_5_14_aug4.png,0,train,aug_4
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\606_5_9_37_orig.png,0,train,original
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\606_5_9_37_aug1.png,0,train,aug_1
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\606_5_9_37_aug2.png,0,train,aug_2
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\606_5_9_37_aug3.png,0,train,aug_3
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\606_5_9_37_aug4.png,0,train,aug_4
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\101_7_4_28_orig.png,0,train,original
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\101_7_4_28_aug1.png,0,train,aug_1
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\101_7_4_28_aug2.png,0,train,aug_2
